date_idx,num_tweets,text
19,12,states instead of the 15 states that i visited . i would have won even more easily and convincingly but smaller states are forgotten ! it would have been much easier for me to win the so called popular vote than the electoral college in that i would only campaign in 3 or 4 in addition to winning the electoral college in a landslide i won the popular vote if you deduct the millions of people who voted illegallytrump is going to be our president . we owe him an open mind and the chance to lead . so much time and money will be spent same result ! sadthis election . that is a direct threat to our democracy . she then said we have to accept the results and look to the future donald of position . then separately she stated he said something truly horrifying . . . he refused to say that he would respect the results of during a general election . i for one am appalled that somebody that is the nominee of one of our two major parties would take that kind and fair elections . we've accepted the outcomes when we may not have liked them and that is what must be expected of anyone standing on a hillary 's debate answer on delay : that is horrifying . that is not the way our democracy works . been around for 240 years . we've had free hillary clinton conceded the election when she called me just prior to the victory speech and after the results were in . nothing will changethe democrats when they incorrectly thought they were going to win asked that the election night tabulation be accepted . not so anymore ! the green party scam to fill up their coffers by asking for impossible recounts is now being joined by the badly defeated amp ; demoralized dems
20,3,just met with general petraeus was very impressed ! if cuba is unwilling to make a better deal for the cuban people the cuban american people and the u . s . as a whole i will terminate deal . serious voter fraud in virginia new hampshire and california so why isn't the media reporting on this ? serious bias big problem !
21,11,"'president elect donald j . trump nominates elaine chao as secretary of the department of transportation'https : t . co 5fmgdhazxb'president elect donald j . trump intends to nominate congressman tom price and seema verma . 'https : t . co zth5cuy26z https : t . co twigakjs3srt danscavino : back to cincinnati ohio this thursday 12 1 16 at 7pm for peotus realdonaldtrump 's thankyoutour2016 ! join us ! https : my thoughts and prayers are with the great people of tennessee during these terrible wildfires . stay safe ! nobody should be allowed to burn the american flag if they do there must be consequences perhaps loss of citizenship or year in jail ! i thought that cnn would get better after they failed so badly in their support of hillary clinton however since election they are worse ! the great state of michigan was just certified as a trump win giving all of our make america great again supporters another victory 306 ! . cnn is so embarrassed by their total 100 support of hillary clinton and yet her loss in a landslide that they don't know what to do . sdcritic : highonhillcrest jeffzeleny cnn there is no question that voterfraud did take place and in favor of corrupthillary ! fiiibuster : jeffzeleny pathetic you have no sufficient evidence that donald trump did not suffer from voter fraud shame ! bad reporter . , 11 29 2016 02 : 19 : 53 , 7723 , 32567 , false , 803423203620245504 twitter for android , joebowman12 : jeffzeleny just another generic cnn part time wannabe journalist ! cnn still doesn't get it . they will never learn ! highonhillcrest : jeffzeleny what proof do u have donaldtrump did not suffer from millions of fraud votes ? journalist ? do your job ! cnn"
22,11,'donald trump is already helping the working class ' https : t . co gtuncqhlyxrt danscavino : great interview on foxandfriends by stevedoocy w carrier employee who has a message for peotus realdonaldtrump amp ; vpe 'president elect donald j . trump today announced his intent to nominate steven mnuchin wilbur ross amp ; todd ricketts https : t . co cebxowsnypjoin me in cincinnati ohio tomorrow evening at 7 : 00pm . i am grateful for all of your support . thank you ! tickets : https : t . co 51emq7tffahence legal documents are being crafted which take me completely out of business operations . the presidency is a far more important task ! do this under the law i feel it is visually important as president to in no way have a conflict of interest with my various businesses . . great business in total in order to fully focus on running the country in order to make america great again ! while i am not mandated to . . . . i will be holding a major news conference in new york city with my children on december 15 to discuss the fact that i will be leaving my . . . isis is taking credit for the terrible stabbing attack at ohio state university by a somali refugee who should not have been in our country . big day on thursday for indiana and the great workers of that wonderful state . we will keep our companies and jobs in the u . s . thanks carrieri will be going to indiana on thursday to make a major announcement concerning carrier a . c . staying in indianapolis . great deal for workers !
23,4,heading to u . s . bank arena in cincinnati ohio for a 7pm rally . join me ! tickets : https : t . co hiwqzvhv6mgetting ready to leave for the great state of indiana and meet the hard working and wonderful people of carrier a . c . my thoughts and prayers are with those affected by the tragic storms and tornadoes in the southeastern united states . stay safe ! look forward to going to indiana tomorrow in order to be with the great workers of carrier . they will sell many air conditioners !
24,1,thank you ohio ! together we made history and now the real work begins . america will start winning again ! https : t . co svnsnje7uf
25,6,our great vpe mike pence is in louisiana campaigning for john kennedy for us senate . john will be a tremendous help to us in washington . state treasurer john kennedy is my choice for us senator from louisiana . early voting today ; election next saturday . tigerwoods : can t wait to get back out there and mix it up with the boys . tw heroworldchallenge great to have you back tiger special ! rexnord of indiana is moving to mexico and rather viciously firing all of its 300 workers . this is happening all over our country . no more ! interesting how the u . s . sells taiwan billions of dollars of military equipment but i should not accept a congratulatory call . the president of taiwan called me today to wish me congratulations on winning the presidency . thank you !
26,11,their country the u . s . doesn't tax them or to build a massive military complex in the middle of the south china sea ? i don't think so ! did china ask us if it was ok to devalue their currency making it hard for our companies to compete heavily tax our products going into . . . foxnews will be re running objectified : donald trump the ratings hit produced by the great harvey levin of tmz at 8 : 00 p . m . enjoy ! the green party just dropped its recount suit in pennsylvania and is losing votes in wisconsin recount . just a stein scam to raise money ! expensive mistake ! the united states is open for businessthese companies are able to move between all 50 states with no tax or tariff being charged . please be forewarned prior to making a very . . . wanting to sell their product cars a . c . units etc . back across the border . this tax will make leaving financially difficult but . . . . . without retribution or consequence is wrong ! there will be a tax on our soon to be strong border of 35 for these companies . . . . . . fires its employees builds a new factory or plant in the other country and then thinks it will sell its product back into the u . s . . . . . . . the u . s . is going to substantialy reduce taxes and regulations on businesses but any business that leaves our country for another countryjust tried watching saturday night live unwatchable ! totally biased not funny and the baldwin impersonation just can't get any worse . sad
27,3,thankyoutour2016 12 6 north carolinahttps : t . co 79ahq3nc0v12 8 iowahttps : t . co 1iurtvwmsx12 9 michiga https : t . co vcqaij8qobif the press would cover me accurately amp ; honorably i would have far less reason to tweet . sadly i don't know if that will ever happen ! i am thrilled to nominate dr . realbencarson as our next secretary of the us dept . of housing and urban development https : t . co ojkudfhp3r
28,5,departing new york with general james 'mad dog ' mattis for tonight 's rally in fayetteville north carolina ! see you https : t . co z8sgjbwi09masa said he would never do this had we trump not won the election ! masa softbank of japan has agreed to invest 50 billion in the u . s . toward businesses and 50000 new jobs . . . . join me tonight in fayetteville north carolina at 7pm ! thankyoutour2016 tickets : https : t . co 79ahq3nc0v https : t . co kozce7jeg7boeing is building a brand new 747 air force one for future presidents but costs are out of control more than 4 billion . cancel order !
29,4,join me tomorrow in des moines iowa with vice president elect mike pence at 7 : 00pm ! thankyoutour2016 maga https : t . co geq6st70itwe pause today to remember the 2403 american heroes who selflessly gave their lives at pearl harbor 75 years ago . . . https : t . co r5erlr24q3i will be interviewed on the todayshow at 7 : 30 . enjoy ! a great night in fayetteville north carolina . thank you ! icymi watch here : https : t . co zautgxkppb https : t . co ef9xrwmcia
30,5,join me tomorrow ! maga 10am baton rouge la . tickets : https : t . co rviq6yq45p7pm grand rapids mi . tickets : https : t . co 2utwag5v87on my way to des moines iowa will see you soon with mike pence . join us ! tickets : https : t . co 1iurtvwmsx thankyoutour2016today we lost a great pioneer of air and space in john glenn . he was a hero and inspired generations of future explorers . he will be missed . if united steelworkers 1999 was any good they would have kept those jobs in indiana . spend more time working less time talking . reduce dueschuck jones who is president of united steelworkers 1999 has done a terrible job representing workers . no wonder companies flee country !
31,3,thank you louisiana ! get out amp ; vote for john kennedy tomorrow . electing kennedy will help enact our agenda on behal https : t . co shxeyreezijoin me live in louisiana ! tomorrow we need you to go to the polls amp ; send john kennedy to the u . s . senate . https : t . co o0jtz0bkelthank you iowa ! thankyoutour2016 https : t . co v6eb2oqmeo
32,9,rt foxnewssunday : sunday our exclusive interview with president elect realdonaldtrump watch on foxnews at 2p 10p et check your local october 2015 thanks chris wallace foxnewssunday ! https : t . co vesgpcwq7zrt trumpinaugural : counting down the days until the swearing in of realdonaldtrump amp ; mike pence . check in here for the latest updates . a very interesting read . unfortunately so much is true . https : t . co er2bom765mreports by cnn that i will be working on the apprentice during my presidency even part time are ridiculous amp ; untrue fake news ! as a show of support for our armed forces i will be going to the army navy game today . looking forward to it should be fun ! i have nothing to do with the apprentice except for fact that i conceived it with mark b amp ; have a big stake in it . will devote zero time ! . rudygiuliani one of the finest people i know and a former great mayor of n . y . c . just took himself out of consideration for state . thank you michigan . we are going to bring back your jobs amp ; together we will make america great again ! watch : https : t . co eyloo26fqw
33,4,whether i choose him or not for state rex tillerson the chairman amp ; ceo of exxonmobil is a world class player and dealmaker . stay tuned ! i spent friday campaigning with john kennedy of the great state of louisiana for the u . s . senate . the election is over john won ! being at the army navy game was fantastic . there is nothing like the spirit in that stadium . a wonderful experience and congrats to army ! i will be interviewed today on fox news sunday with chris wallace at 10 : 00 eastern network . enjoy !
34,7,the final wisconsin vote is in and guess what we just picked up an additional 131 votes . the dems and green party can now rest . scam ! thankyoutour2016 tue : west allis wi . thur : hershey pa . fri : orlando fl . sat : mobile al . tickets : https : t . co oj8s7ivzfxthe f 35 program and cost is out of control . billions of dollars can and will be saved on military and other purchases after january 20th . unless you catch hackers in the act it is very hard to determine who was doing the hacking . why wasn't this brought up before election ? can you imagine if the election results were the opposite and we tried to play the russia cia card . it would be called conspiracy theory ! just watched nbcnightlynews so biased inaccurate and bad point after point . just can't get much worse although cnn is right up there ! will be interviewed on foxnews at 10 : 00 p . m . enjoy !
35,8,join me this saturday at ladd peebles stadium in mobile alabama ! thankyoutour2016 tickets : https : t . co 1rfmkcmgywthe thing i like best about rex tillerson is that he has vast experience at dealing successfully with all types of foreign governments . wisconsin and pennsylvania have just certified my wins in those states . i actually picked up additional votes ! i have chosen one of the truly great business leaders of the world rex tillerson chairman and ceo of exxonmobil to be secretary of state . i will hold a press conference in the near future to discuss the business cabinet picks and all other topics of interest . busy times ! presidency . two of my children don and eric plus executives will manage them . no new deals will be done during my term s in office . even though i am not mandated by law to do so i will be leaving my busineses before january 20th so that i can focus full time on the . . . . . . i will be making my announcement on the next secretary of state tomorrow morning .
36,3,. billgates and jimbrownnfl32 in my trump tower office yesterday two great guys ! https : t . co 4pjsoeu5y9thank you wisconsin ! my administration will be focused on three very important words : jobs jobs jobs ! watch : https : t . co iegwzluifert danscavino : join peotus trump amp ; vpeotus pence live in west allis wisconsin ! thankyoutour2016 magahttps : t . co vu5epiykuc https :
37,5,join me in mobile alabama on sat . at 3pm ! thankyoutour2016 tickets : https : t . co gggbjl8zo6 https : t . co opkrwo4k0cif russia or some other entity was hacking why did the white house wait so long to act ? why did they only complain after hillary lost ? the media tries so hard to make my move to the white house as it pertains to my business so complex when actually it isn't ! thank you to time magazine and financial times for naming me person of the year a great honor ! has anyone looked at the really poor numbers of vanityfair magazine . way down big trouble dead ! graydon carter no talent will be out !
38,4,thankyoutour2016 tonight orlando florida tickets : https : t . co jwqeccp79ntomorrow mobile alabamatickets : https : t . co cq5awcuzt9well we all did it together ! i hope the movement fans will go to d . c . on jan 20th for the swearing in . let 's set the all time record ! are we talking about the same cyberattack where it was revealed that head of the dnc illegally gave hillary the questions to the debate ? thank you pennsylvania ! together we are going to make america great again ! watch here : https : t . co 7r382qwfws https : t . co yb6u5fefhq
39,6,rt danscavino : join president elect trump live from mobile alabama via his facebook page ! thankyoutour2016 watch : https : t . co btzn080 china steals united states navy research drone in international waters rips it out of water and takes it to china in unprecedented act . mobile alabama today at 3 : 00 p . m . last rally of the year thank you alabama and the south biggest of all crowds expected see you there ! eazymf e : realdonaldtrump many people are now saying you will be an extremely successful president ! makeamericagreatagain thank you ! last night in orlando florida was incredible massive crowd thank you florida ! today at 3 : 00 p . m . i will be in alabama for last rally ! thank you florida . my administration will follow two simple rules : buy american and hire american ! icymi watch : https : t . co 3vgtzsjsfu
40,3,if my many supporters acted and threatened people like those who lost the election are doing they would be scorned amp ; called terrible names ! we should tell china that we don't want the drone they stole back . let them keep it ! thank you alabama ! from now on it s going to be americafirst . our goal is to bring back that wonderful phrase : https : t . co 4uaazd7tmf
41,2,we did it ! thank you to all of my great supporters we just officially won the election despite all of the distorted and inaccurate media . today there were terror attacks in turkey switzerland and germany and it is only getting worse . the civilized world must change thinking !
42,6,yes it is true carlos slim the great businessman from mexico called me about getting together for a meeting . we met he is a great guy ! especially how to get people even with an unlimited budget out to vote in the vital swing states and more . they focused on wrong statesbill clinton stated that i called him after the election . wrong he called me with a very nice congratulations . he doesn't know much . . . mike pence : congratulations to realdonaldtrump ; officially elected president of the united states today by the electoral college ! franklin graham : congratulations to president elect realdonaldtrump the electoral votes are in and it 's official . thank you franklin ! rt danscavino : trumptrain https : t . co qaqdbgewsv
43,3,i have not heard any of the pundits or commentators discussing the fact that i spent far less money on the win than hillary on the loss ! i would have done even better in the election if that is possible if the winner was based on popular vote but would campaign differentlycampaigning to win the electoral college is much more difficult amp ; sophisticated than the popular vote . hillary focused on the wrong states !
44,5,based on the tremendous cost and cost overruns of the lockheed martin f 35 i have asked boeing to price out a comparable f 18 super hornet ! the united states must greatly strengthen and expand its nuclear capability until such time as the world comes to its senses regarding nukessomeone incorrectly stated that the phrase drain the swamp was no longer being used by me . actually we will always be trying to dts . the resolution being considered at the united nations security council regarding israel should be vetoed . . . . cont : https : t . co s8rxkkznf1i met some really great air force generals and navy admirals today talking about airplane capability and pricing . very impressive people !
45,6,slaughter you . this is a purely religious threat which turned into reality . such hatred ! when will the u . s . and all countries fight back ? the terrorist who killed so many people in germany said just before crime by god 's will we will slaughter you pigs i swear we will . . . . . . as to the u . n . things will be different after jan . 20th . my presidency . isn't this a ridiculous shame ? he loves these kids has raised millions of dollars for them and now must stop . wrong answer ! my wonderful son eric will no longer be allowed to raise money for children with cancer because of a possible conflict of interest with . . . the so called a list celebrities are all wanting tixs to the inauguration but look what they did for hillary nothing . i want the people !
46,4,happy hanukkah https : t . co uvzwtykv1ethe big loss yesterday for israel in the united nations will make it much harder to negotiate peace . too bad but we will get it done anyway ! . nbcnews purposely left out this part of my nuclear qoute : until such time as the world comes to its senses regarding nukes . dishonest ! vladimir putin said today about hillary and dems : in my opinion it is humiliating . one must be able to lose with dignity . so true !
47,3,merry christmas and a very very very very happy new year to everyone ! merrychristmas https : t . co 5ggdmjrgms . foxnews objectified tonight at 10 : 00 p . m . enjoy !
